"HospitalPosition","NumResidentsRanked","NumPositionsOffered","HospitalQuality"
"hosp001_pos1",43,9,49.5518259255138
"hosp001_pos2",43,9,49.5518259255138
"hosp001_pos3",43,9,49.5518259255138
"hosp001_pos4",43,9,49.5518259255138
"hosp001_pos5",43,9,49.5518259255138
"hosp001_pos6",43,9,49.5518259255138
"hosp001_pos7",43,9,49.5518259255138
"hosp001_pos8",43,9,49.5518259255138
"hosp001_pos9",43,9,49.5518259255138
"hosp002_pos1",35,9,70.3519373967216
"hosp002_pos2",35,9,70.3519373967216
"hosp002_pos3",35,9,70.3519373967216
"hosp002_pos4",35,9,70.3519373967216
"hosp002_pos5",35,9,70.3519373967216
"hosp002_pos6",35,9,70.3519373967216
"hosp002_pos7",35,9,70.3519373967216
"hosp002_pos8",35,9,70.3519373967216
"hosp002_pos9",35,9,70.3519373967216
"hosp003_pos1",31,9,56.7269132583907
"hosp003_pos2",31,9,56.7269132583907
"hosp003_pos3",31,9,56.7269132583907
"hosp003_pos4",31,9,56.7269132583907
"hosp003_pos5",31,9,56.7269132583907
"hosp003_pos6",31,9,56.7269132583907
"hosp003_pos7",31,9,56.7269132583907
"hosp003_pos8",31,9,56.7269132583907
"hosp003_pos9",31,9,56.7269132583907
"hosp004_pos1",37,9,48.6719018880925
"hosp004_pos2",37,9,48.6719018880925
"hosp004_pos3",37,9,48.6719018880925
"hosp004_pos4",37,9,48.6719018880925
"hosp004_pos5",37,9,48.6719018880925
"hosp004_pos6",37,9,48.6719018880925
"hosp004_pos7",37,9,48.6719018880925
"hosp004_pos8",37,9,48.6719018880925
"hosp004_pos9",37,9,48.6719018880925
"hosp005_pos1",32,3,58.8402180761496
"hosp005_pos2",32,3,58.8402180761496
"hosp005_pos3",32,3,58.8402180761496
"hosp006_pos1",26,3,75.794355796298
"hosp006_pos2",26,3,75.794355796298
"hosp006_pos3",26,3,75.794355796298
"hosp007_pos1",34,3,65.4731441239818
"hosp007_pos2",34,3,65.4731441239818
"hosp007_pos3",34,3,65.4731441239818
"hosp008_pos1",39,9,70.7958335545423
"hosp008_pos2",39,9,70.7958335545423
"hosp008_pos3",39,9,70.7958335545423
"hosp008_pos4",39,9,70.7958335545423
"hosp008_pos5",39,9,70.7958335545423
"hosp008_pos6",39,9,70.7958335545423
"hosp008_pos7",39,9,70.7958335545423
"hosp008_pos8",39,9,70.7958335545423
"hosp008_pos9",39,9,70.7958335545423
"hosp009_pos1",30,3,29.1645842410445
"hosp009_pos2",30,3,29.1645842410445
"hosp009_pos3",30,3,29.1645842410445
"hosp010_pos1",30,3,64.1960894578584
"hosp010_pos2",30,3,64.1960894578584
"hosp010_pos3",30,3,64.1960894578584
"hosp011_pos1",38,9,50.6480643100463
"hosp011_pos2",38,9,50.6480643100463
"hosp011_pos3",38,9,50.6480643100463
"hosp011_pos4",38,9,50.6480643100463
"hosp011_pos5",38,9,50.6480643100463
"hosp011_pos6",38,9,50.6480643100463
"hosp011_pos7",38,9,50.6480643100463
"hosp011_pos8",38,9,50.6480643100463
"hosp011_pos9",38,9,50.6480643100463
"hosp012_pos1",37,6,52.4232371118001
"hosp012_pos2",37,6,52.4232371118001
"hosp012_pos3",37,6,52.4232371118001
"hosp012_pos4",37,6,52.4232371118001
"hosp012_pos5",37,6,52.4232371118001
"hosp012_pos6",37,6,52.4232371118001
"hosp013_pos1",32,9,50.2484003237795
"hosp013_pos2",32,9,50.2484003237795
"hosp013_pos3",32,9,50.2484003237795
"hosp013_pos4",32,9,50.2484003237795
"hosp013_pos5",32,9,50.2484003237795
"hosp013_pos6",32,9,50.2484003237795
"hosp013_pos7",32,9,50.2484003237795
"hosp013_pos8",32,9,50.2484003237795
"hosp013_pos9",32,9,50.2484003237795
"hosp014_pos1",34,9,56.4667511481262
"hosp014_pos2",34,9,56.4667511481262
"hosp014_pos3",34,9,56.4667511481262
"hosp014_pos4",34,9,56.4667511481262
"hosp014_pos5",34,9,56.4667511481262
"hosp014_pos6",34,9,56.4667511481262
"hosp014_pos7",34,9,56.4667511481262
"hosp014_pos8",34,9,56.4667511481262
"hosp014_pos9",34,9,56.4667511481262
"hosp015_pos1",23,3,39.7919302228396
"hosp015_pos2",23,3,39.7919302228396
"hosp015_pos3",23,3,39.7919302228396
"hosp016_pos1",33,6,55.745039954967
"hosp016_pos2",33,6,55.745039954967
"hosp016_pos3",33,6,55.745039954967
"hosp016_pos4",33,6,55.745039954967
"hosp016_pos5",33,6,55.745039954967
"hosp016_pos6",33,6,55.745039954967
"hosp017_pos1",34,6,68.289317241476
"hosp017_pos2",34,6,68.289317241476
"hosp017_pos3",34,6,68.289317241476
"hosp017_pos4",34,6,68.289317241476
"hosp017_pos5",34,6,68.289317241476
"hosp017_pos6",34,6,68.289317241476
"hosp018_pos1",32,3,25.6634656003361
"hosp018_pos2",32,3,25.6634656003361
"hosp018_pos3",32,3,25.6634656003361
"hosp019_pos1",30,9,41.4201557973835
"hosp019_pos2",30,9,41.4201557973835
"hosp019_pos3",30,9,41.4201557973835
"hosp019_pos4",30,9,41.4201557973835
"hosp019_pos5",30,9,41.4201557973835
"hosp019_pos6",30,9,41.4201557973835
"hosp019_pos7",30,9,41.4201557973835
"hosp019_pos8",30,9,41.4201557973835
"hosp019_pos9",30,9,41.4201557973835
"hosp020_pos1",31,6,35.4491239229154
"hosp020_pos2",31,6,35.4491239229154
"hosp020_pos3",31,6,35.4491239229154
"hosp020_pos4",31,6,35.4491239229154
"hosp020_pos5",31,6,35.4491239229154
"hosp020_pos6",31,6,35.4491239229154
"hosp021_pos1",36,9,53.6907338509445
"hosp021_pos2",36,9,53.6907338509445
"hosp021_pos3",36,9,53.6907338509445
"hosp021_pos4",36,9,53.6907338509445
"hosp021_pos5",36,9,53.6907338509445
"hosp021_pos6",36,9,53.6907338509445
"hosp021_pos7",36,9,53.6907338509445
"hosp021_pos8",36,9,53.6907338509445
"hosp021_pos9",36,9,53.6907338509445
"hosp022_pos1",32,6,48.0360827199214
"hosp022_pos2",32,6,48.0360827199214
"hosp022_pos3",32,6,48.0360827199214
"hosp022_pos4",32,6,48.0360827199214
"hosp022_pos5",32,6,48.0360827199214
"hosp022_pos6",32,6,48.0360827199214
"hosp023_pos1",30,3,44.1168189020906
"hosp023_pos2",30,3,44.1168189020906
"hosp023_pos3",30,3,44.1168189020906
"hosp024_pos1",34,3,69.9686961544405
"hosp024_pos2",34,3,69.9686961544405
"hosp024_pos3",34,3,69.9686961544405
"hosp025_pos1",36,6,48.5603367700254
"hosp025_pos2",36,6,48.5603367700254
"hosp025_pos3",36,6,48.5603367700254
"hosp025_pos4",36,6,48.5603367700254
"hosp025_pos5",36,6,48.5603367700254
"hosp025_pos6",36,6,48.5603367700254
"hosp026_pos1",30,9,49.8196374732322
"hosp026_pos2",30,9,49.8196374732322
"hosp026_pos3",30,9,49.8196374732322
"hosp026_pos4",30,9,49.8196374732322
"hosp026_pos5",30,9,49.8196374732322
"hosp026_pos6",30,9,49.8196374732322
"hosp026_pos7",30,9,49.8196374732322
"hosp026_pos8",30,9,49.8196374732322
"hosp026_pos9",30,9,49.8196374732322
"hosp027_pos1",35,9,48.0683546866583
"hosp027_pos2",35,9,48.0683546866583
"hosp027_pos3",35,9,48.0683546866583
"hosp027_pos4",35,9,48.0683546866583
"hosp027_pos5",35,9,48.0683546866583
"hosp027_pos6",35,9,48.0683546866583
"hosp027_pos7",35,9,48.0683546866583
"hosp027_pos8",35,9,48.0683546866583
"hosp027_pos9",35,9,48.0683546866583
"hosp028_pos1",37,9,48.9986666519226
"hosp028_pos2",37,9,48.9986666519226
"hosp028_pos3",37,9,48.9986666519226
"hosp028_pos4",37,9,48.9986666519226
"hosp028_pos5",37,9,48.9986666519226
"hosp028_pos6",37,9,48.9986666519226
"hosp028_pos7",37,9,48.9986666519226
"hosp028_pos8",37,9,48.9986666519226
"hosp028_pos9",37,9,48.9986666519226
"hosp029_pos1",27,3,46.8298517112555
"hosp029_pos2",27,3,46.8298517112555
"hosp029_pos3",27,3,46.8298517112555
"hosp030_pos1",37,6,52.9676907248824
"hosp030_pos2",37,6,52.9676907248824
"hosp030_pos3",37,6,52.9676907248824
"hosp030_pos4",37,6,52.9676907248824
"hosp030_pos5",37,6,52.9676907248824
"hosp030_pos6",37,6,52.9676907248824
"hosp031_pos1",35,3,50.5884324253235
"hosp031_pos2",35,3,50.5884324253235
"hosp031_pos3",35,3,50.5884324253235
"hosp032_pos1",33,9,49.1817062674125
"hosp032_pos2",33,9,49.1817062674125
"hosp032_pos3",33,9,49.1817062674125
"hosp032_pos4",33,9,49.1817062674125
"hosp032_pos5",33,9,49.1817062674125
"hosp032_pos6",33,9,49.1817062674125
"hosp032_pos7",33,9,49.1817062674125
"hosp032_pos8",33,9,49.1817062674125
"hosp032_pos9",33,9,49.1817062674125
"hosp033_pos1",31,6,36.3370711484958
"hosp033_pos2",31,6,36.3370711484958
"hosp033_pos3",31,6,36.3370711484958
"hosp033_pos4",31,6,36.3370711484958
"hosp033_pos5",31,6,36.3370711484958
"hosp033_pos6",31,6,36.3370711484958
"hosp034_pos1",34,3,47.6761161404384
"hosp034_pos2",34,3,47.6761161404384
"hosp034_pos3",34,3,47.6761161404384
"hosp035_pos1",36,9,50.186840580135
"hosp035_pos2",36,9,50.186840580135
"hosp035_pos3",36,9,50.186840580135
"hosp035_pos4",36,9,50.186840580135
"hosp035_pos5",36,9,50.186840580135
"hosp035_pos6",36,9,50.186840580135
"hosp035_pos7",36,9,50.186840580135
"hosp035_pos8",36,9,50.186840580135
"hosp035_pos9",36,9,50.186840580135
"hosp036_pos1",32,6,48.9468218722517
"hosp036_pos2",32,6,48.9468218722517
"hosp036_pos3",32,6,48.9468218722517
"hosp036_pos4",32,6,48.9468218722517
"hosp036_pos5",32,6,48.9468218722517
"hosp036_pos6",32,6,48.9468218722517
"hosp037_pos1",27,3,65.8874098436298
"hosp037_pos2",27,3,65.8874098436298
"hosp037_pos3",27,3,65.8874098436298
"hosp038_pos1",31,6,56.6602870196652
"hosp038_pos2",31,6,56.6602870196652
"hosp038_pos3",31,6,56.6602870196652
"hosp038_pos4",31,6,56.6602870196652
"hosp038_pos5",31,6,56.6602870196652
"hosp038_pos6",31,6,56.6602870196652
"hosp039_pos1",35,9,47.1771475520177
"hosp039_pos2",35,9,47.1771475520177
"hosp039_pos3",35,9,47.1771475520177
"hosp039_pos4",35,9,47.1771475520177
"hosp039_pos5",35,9,47.1771475520177
"hosp039_pos6",35,9,47.1771475520177
"hosp039_pos7",35,9,47.1771475520177
"hosp039_pos8",35,9,47.1771475520177
"hosp039_pos9",35,9,47.1771475520177
"hosp040_pos1",31,9,32.7226294939966
"hosp040_pos2",31,9,32.7226294939966
"hosp040_pos3",31,9,32.7226294939966
"hosp040_pos4",31,9,32.7226294939966
"hosp040_pos5",31,9,32.7226294939966
"hosp040_pos6",31,9,32.7226294939966
"hosp040_pos7",31,9,32.7226294939966
"hosp040_pos8",31,9,32.7226294939966
"hosp040_pos9",31,9,32.7226294939966
"hosp041_pos1",35,6,31.2615963285812
"hosp041_pos2",35,6,31.2615963285812
"hosp041_pos3",35,6,31.2615963285812
"hosp041_pos4",35,6,31.2615963285812
"hosp041_pos5",35,6,31.2615963285812
"hosp041_pos6",35,6,31.2615963285812
"hosp042_pos1",33,9,60.1215162652149
"hosp042_pos2",33,9,60.1215162652149
"hosp042_pos3",33,9,60.1215162652149
"hosp042_pos4",33,9,60.1215162652149
"hosp042_pos5",33,9,60.1215162652149
"hosp042_pos6",33,9,60.1215162652149
"hosp042_pos7",33,9,60.1215162652149
"hosp042_pos8",33,9,60.1215162652149
"hosp042_pos9",33,9,60.1215162652149
"hosp043_pos1",26,3,45.2457216160423
"hosp043_pos2",26,3,45.2457216160423
"hosp043_pos3",26,3,45.2457216160423
"hosp044_pos1",31,3,53.3855376845589
"hosp044_pos2",31,3,53.3855376845589
"hosp044_pos3",31,3,53.3855376845589
"hosp045_pos1",34,6,55.3388377859129
"hosp045_pos2",34,6,55.3388377859129
"hosp045_pos3",34,6,55.3388377859129
"hosp045_pos4",34,6,55.3388377859129
"hosp045_pos5",34,6,55.3388377859129
"hosp045_pos6",34,6,55.3388377859129
"hosp046_pos1",31,6,34.0449765627315
"hosp046_pos2",31,6,34.0449765627315
"hosp046_pos3",31,6,34.0449765627315
"hosp046_pos4",31,6,34.0449765627315
"hosp046_pos5",31,6,34.0449765627315
"hosp046_pos6",31,6,34.0449765627315
"hosp047_pos1",28,3,50.1017119066286
"hosp047_pos2",28,3,50.1017119066286
"hosp047_pos3",28,3,50.1017119066286
"hosp048_pos1",34,9,41.9473777513886
"hosp048_pos2",34,9,41.9473777513886
"hosp048_pos3",34,9,41.9473777513886
"hosp048_pos4",34,9,41.9473777513886
"hosp048_pos5",34,9,41.9473777513886
"hosp048_pos6",34,9,41.9473777513886
"hosp048_pos7",34,9,41.9473777513886
"hosp048_pos8",34,9,41.9473777513886
"hosp048_pos9",34,9,41.9473777513886
"hosp049_pos1",32,3,63.3231809763723
"hosp049_pos2",32,3,63.3231809763723
"hosp049_pos3",32,3,63.3231809763723
"hosp050_pos1",30,3,47.0818452890422
"hosp050_pos2",30,3,47.0818452890422
"hosp050_pos3",30,3,47.0818452890422
"hosp051_pos1",28,6,57.5333844210972
"hosp051_pos2",28,6,57.5333844210972
"hosp051_pos3",28,6,57.5333844210972
"hosp051_pos4",28,6,57.5333844210972
"hosp051_pos5",28,6,57.5333844210972
"hosp051_pos6",28,6,57.5333844210972
"hosp052_pos1",33,3,39.32720806794
"hosp052_pos2",33,3,39.32720806794
"hosp052_pos3",33,3,39.32720806794
"hosp053_pos1",33,9,33.6211022502751
"hosp053_pos2",33,9,33.6211022502751
"hosp053_pos3",33,9,33.6211022502751
"hosp053_pos4",33,9,33.6211022502751
"hosp053_pos5",33,9,33.6211022502751
"hosp053_pos6",33,9,33.6211022502751
"hosp053_pos7",33,9,33.6211022502751
"hosp053_pos8",33,9,33.6211022502751
"hosp053_pos9",33,9,33.6211022502751
"hosp054_pos1",33,3,29.5885199765036
"hosp054_pos2",33,3,29.5885199765036
"hosp054_pos3",33,3,29.5885199765036
"hosp055_pos1",34,9,53.5708326134941
"hosp055_pos2",34,9,53.5708326134941
"hosp055_pos3",34,9,53.5708326134941
"hosp055_pos4",34,9,53.5708326134941
"hosp055_pos5",34,9,53.5708326134941
"hosp055_pos6",34,9,53.5708326134941
"hosp055_pos7",34,9,53.5708326134941
"hosp055_pos8",34,9,53.5708326134941
"hosp055_pos9",34,9,53.5708326134941
