HospitalPosition,Resident,HospitalsRank,ResidentsRank,MatchQuality
hosp001_pos1,res081,21,13,15
hosp001_pos2,res081,21,13,15
hosp001_pos3,res081,21,13,15
hosp001_pos4,res081,21,13,15
hosp001_pos5,res081,21,13,15
hosp001_pos6,res081,21,13,15
hosp001_pos7,res081,21,13,15
hosp001_pos8,res081,21,13,15
hosp001_pos9,res081,21,13,15
hosp002_pos1,res184,1,6,27
hosp002_pos1,res128,2,8,25
hosp002_pos1,res025,3,1,31
hosp002_pos1,res075,4,8,25
hosp002_pos1,res098,5,10,22
hosp002_pos1,res035,6,1,30
hosp002_pos1,res009,7,2,29
hosp002_pos1,res069,8,2,29
hosp002_pos1,res261,9,4,27
hosp002_pos1,res170,10,4,26
hosp002_pos1,res109,11,2,28
hosp002_pos1,res252,12,4,26
hosp002_pos1,res012,13,3,26
hosp002_pos1,res067,14,3,26
hosp002_pos1,res254,15,3,25
hosp002_pos1,res160,16,5,24
hosp002_pos1,res114,17,8,21
hosp002_pos1,res116,19,4,23
hosp002_pos1,res091,20,2,24
hosp002_pos1,res074,21,4,23
hosp002_pos1,res016,22,3,23
hosp002_pos1,res173,23,1,24
hosp002_pos1,res176,24,5,21
hosp002_pos1,res178,25,7,19
hosp002_pos1,res292,26,6,19
hosp002_pos1,res223,27,8,18
hosp002_pos1,res129,28,7,18
hosp002_pos1,res154,29,6,18
hosp002_pos1,res005,30,2,20
hosp002_pos1,res042,32,4,18
hosp002_pos1,res057,33,5,17
hosp002_pos1,res282,34,6,16
hosp002_pos1,res205,35,1,18
hosp002_pos2,res184,1,6,27
hosp002_pos2,res128,2,8,25
hosp002_pos2,res025,3,1,31
hosp002_pos2,res075,4,8,25
hosp002_pos2,res098,5,10,22
hosp002_pos2,res035,6,1,30
hosp002_pos2,res009,7,2,29
hosp002_pos2,res069,8,2,29
hosp002_pos2,res261,9,4,27
hosp002_pos2,res170,10,4,26
hosp002_pos2,res109,11,2,28
hosp002_pos2,res252,12,4,26
hosp002_pos2,res012,13,3,26
hosp002_pos2,res067,14,3,26
hosp002_pos2,res254,15,3,25
hosp002_pos2,res160,16,5,24
hosp002_pos2,res114,17,8,21
hosp002_pos2,res116,19,4,23
hosp002_pos2,res091,20,2,24
hosp002_pos2,res074,21,4,23
hosp002_pos2,res016,22,3,23
hosp002_pos2,res173,23,1,24
hosp002_pos2,res176,24,5,21
hosp002_pos2,res178,25,7,19
hosp002_pos2,res292,26,6,19
hosp002_pos2,res223,27,8,18
hosp002_pos2,res129,28,7,18
hosp002_pos2,res154,29,6,18
hosp002_pos2,res005,30,2,20
hosp002_pos2,res042,32,4,18
hosp002_pos2,res057,33,5,17
hosp002_pos2,res282,34,6,16
hosp002_pos2,res205,35,1,18
hosp002_pos3,res184,1,6,27
hosp002_pos3,res128,2,8,25
hosp002_pos3,res025,3,1,31
hosp002_pos3,res075,4,8,25
hosp002_pos3,res098,5,10,22
hosp002_pos3,res035,6,1,30
hosp002_pos3,res009,7,2,29
hosp002_pos3,res069,8,2,29
hosp002_pos3,res261,9,4,27
hosp002_pos3,res170,10,4,26
hosp002_pos3,res109,11,2,28
hosp002_pos3,res252,12,4,26
hosp002_pos3,res012,13,3,26
hosp002_pos3,res067,14,3,26
hosp002_pos3,res254,15,3,25
hosp002_pos3,res160,16,5,24
