"Resident","NumHospitalsRanked","ResidentQuality"
"res001",8,49.3633759673829
"res002",10,49.8223737282184
"res003",10,46.017023232773
"res004",11,50.9586106108644
"res005",9,52.9255328006582
"res006",14,51.6941079477671
"res007",7,49.1086564544093
"res008",11,51.2156274431619
"res009",12,50.5477537531175
"res010",11,52.0690695163163
"res011",11,50.1255901097839
"res012",10,51.31615814349
"res013",10,52.3994632212759
"res014",14,48.0964076435203
"res015",14,47.2240048713537
"res016",12,51.0922476150645
"res017",12,46.722737631282
"res018",12,52.3072574899491
"res019",13,50.7084132195845
"res020",8,49.2062393881524
"res021",12,49.5179935659899
"res022",7,51.198263261537
"res023",11,54.1317656940019
"res024",11,52.1594878030775
"res025",13,51.1845752218573
"res026",14,50.5320408797954
"res027",8,50.4505887014558
"res028",12,48.7389575158063
"res029",9,47.2894947741776
"res030",8,50.7032625494693
"res031",15,53.3539352557032
"res032",14,48.6787864101965
"res033",11,48.7582883107695
"res034",6,46.0518687253968
"res035",15,46.3339498859905
"res036",7,49.4098014577671
"res037",14,52.5655026868683
"res038",9,50.8274508329818
"res039",10,51.7908801670166
"res040",13,50.3064163583633
"res041",6,50.3229619710382
"res042",7,49.1286515018103
"res043",10,48.0774290694131
"res044",12,48.5426776096466
"res045",10,51.0395276012611
"res046",14,54.1260996340779
"res047",11,50.4293548942244
"res048",14,49.2684318633222
"res049",11,52.8461461796577
"res050",12,50.573871121548
"res051",8,49.7345503267362
"res052",9,52.1225863013174
"res053",9,50.8914404342159
"res054",9,49.6658664981192
"res055",10,45.9164029858776
"res056",11,50.3731173975311
"res057",10,50.5181641476261
"res058",10,47.5395680841164
"res059",7,49.8220805991902
"res060",11,51.1184946553041
"res061",11,48.5277583051247
"res062",9,52.002251117798
"res063",7,50.6170126145653
"res064",13,53.3098761639963
"res065",12,50.8317262935709
"res066",16,46.7397576266786
"res067",12,49.8806713612931
"res068",15,48.8547561240163
"res069",13,47.4924017850153
"res070",13,47.5510676177092
"res071",9,51.5816167526828
"res072",10,49.4362411046743
"res073",11,51.4042579469998
"res074",11,49.3390045564115
"res075",8,55.1530155352898
"res076",9,48.5546267396056
"res077",12,49.8592555305237
"res078",13,50.7625956454297
"res079",7,51.3502470887125
"res080",10,50.2904684032562
"res081",13,48.9267302728865
"res082",12,50.0428521994179
"res083",8,50.3672673175042
"res084",12,45.3041349207535
"res085",15,51.8213873677777
"res086",11,48.4544099158589
"res087",11,49.8530641835584
"res088",11,48.0399440822914
"res089",14,48.5196768890493
"res090",14,49.6265362646998
"res091",10,49.8445041632876
"res092",8,50.5096344622497
"res093",13,51.6300665599672
"res094",11,50.7070154874383
"res095",10,46.2455583683412
"res096",10,47.9812897708755
"res097",14,52.4075670651739
"res098",14,51.6998337049226
"res099",14,51.7181133304921
"res100",10,50.4170086100664
"res101",13,50.0597120455856
"res102",7,50.7909382055477
"res103",11,49.2125029285469
"res104",13,53.0631066975356
"res105",15,54.789170863639
"res106",11,50.1734515215117
"res107",10,47.3618247173277
"res108",13,50.0874851166949
"res109",12,52.2751406327634
"res110",11,50.456478779365
"res111",11,49.3094159892374
"res112",9,45.780487589477
"res113",12,48.6129417236224
"res114",13,49.6178557384141
"res115",13,52.9913331313811
"res116",9,51.4348558121455
"res117",7,48.4012421827477
"res118",11,49.7570735391776
"res119",14,48.2871734342053
"res120",12,48.2623828317822
"res121",13,48.0346943606789
"res122",11,48.8998735213014
"res123",12,55.6021510778713
"res124",12,49.8472030903436
"res125",10,52.9196272271107
"res126",8,51.9215623628906
"res127",7,48.1760074782166
"res128",10,49.8214847557611
"res129",11,54.314980393392
"res130",10,49.8953267765008
"res131",9,50.0562278971283
"res132",12,48.5317726167691
"res133",9,49.0456314335191
"res134",8,48.5228301087596
"res135",11,49.287871855837
"res136",12,53.6687687810842
"res137",13,48.3372919813377
"res138",11,51.1227564198662
"res139",10,50.3467611807968
"res140",6,51.9098879776345
"res141",12,49.5429303867804
"res142",12,51.9697474038614
"res143",13,48.6587430350119
"res144",8,53.4919870452779
"res145",11,53.1527625272867
"res146",11,49.1664636142588
"res147",12,48.9144954979861
"res148",12,51.0793953415272
"res149",12,50.3234965486205
"res150",13,51.373850762047
"res151",11,52.5028478456075
"res152",10,50.7673294668083
"res153",13,51.9037555889861
"res154",13,48.3017784854574
"res155",7,54.4702949984933
"res156",12,49.3079889441416
"res157",11,52.1074402207694
"res158",9,48.8757838032921
"res159",10,51.7485530301504
"res160",8,52.9156067315507
"res161",12,51.1328816433251
"res162",10,49.6802707801826
"res163",10,48.6243529274903
"res164",9,50.7235865354605
"res165",9,48.0790051028965
"res166",9,50.3700440450789
"res167",12,50.0506234927201
"res168",8,45.7051174823242
"res169",10,50.7136181483615
"res170",11,54.998357967801
"res171",13,51.10821468553
"res172",11,48.5054732857014
"res173",10,51.6952574285874
"res174",15,47.5450795068458
"res175",7,50.3797190248625
"res176",9,51.1905159124417
"res177",13,48.2063191376345
"res178",13,50.0558088998413
"res179",9,48.503153272957
"res180",10,49.8561718570563
"res181",9,48.556014249742
"res182",9,47.0216659471989
"res183",12,47.9441669463681
"res184",11,53.3042904272315
"res185",12,48.4880620816448
"res186",9,51.1749240232642
"res187",8,46.766190742884
"res188",12,52.6384298737157
"res189",12,50.7753388305187
"res190",13,44.5662729341118
"res191",11,48.539603753169
"res192",13,52.8653739084306
"res193",13,50.7641636203775
"res194",11,52.6166594892054
"res195",11,49.1100254912116
"res196",16,49.5770148754141
"res197",8,51.3823435582466
"res198",13,53.1707301297273
"res199",12,51.1688135318788
"res200",14,49.4998441913311
"res201",10,51.183873600309
"res202",8,49.84826696031
"res203",13,50.5477875698257
"res204",8,52.9670528766107
"res205",10,51.4299870131532
"res206",15,50.1159133681889
"res207",11,50.992427583608
"res208",12,48.8290113430328
"res209",11,53.5531653227725
"res210",8,48.3635801970137
"res211",16,48.9913870253646
"res212",13,48.7750066663443
"res213",14,47.9498106150108
"res214",17,52.7162058309415
"res215",11,50.6654679096223
"res216",13,50.9161121317627
"res217",13,47.4963701374619
"res218",12,50.6499264753792
"res219",16,48.4080296871739
"res220",12,47.5563012869102
"res221",14,49.8876750858086
"res222",14,50.717686056828
"res223",9,55.5281879028654
"res224",10,47.9739500661397
"res225",10,51.4225175696207
"res226",14,51.7319012919848
"res227",11,46.5114553422849
"res228",9,48.586282486033
"res229",10,48.334275590984
"res230",8,51.564999631066
"res231",11,47.2524625951302
"res232",16,51.3035358440256
"res233",14,48.7715558583711
"res234",11,47.9305988321064
"res235",9,52.531963876309
"res236",12,49.6301076344154
"res237",8,51.9347527304488
"res238",11,50.8016285976805
"res239",12,50.26804913028
"res240",13,53.6338948423076
"res241",11,46.4886639461223
"res242",7,53.1940156093737
"res243",10,48.9469956573311
"res244",12,49.5439668043808
"res245",13,45.7319945796975
"res246",13,44.763066174644
"res247",9,49.3595445261136
"res248",10,49.9407736325925
"res249",12,50.4768552958791
"res250",18,47.3376170077036
"res251",11,49.6631662365828
"res252",11,50.7185693201242
"res253",16,48.6805395839726
"res254",15,52.8483118324805
"res255",12,47.5690944647401
"res256",11,52.5098210573714
"res257",9,50.3813292551229
"res258",11,51.3633925000855
"res259",12,49.4175218299351
"res260",9,52.2177954673063
"res261",11,52.270923248855
"res262",7,50.9204640845269
"res263",8,51.5352007206227
"res264",11,51.493067010683
"res265",11,50.8857292431641
"res266",6,51.3603798042169
"res267",8,53.0371534481003
"res268",11,51.9863860064095
"res269",13,49.1089384038393
"res270",14,49.4890280222198
"res271",12,48.952354293216
"res272",13,47.7354522086917
"res273",10,51.8804649196353
"res274",12,48.2120829933937
"res275",11,49.504752844908
"res276",11,48.6676593419968
"res277",9,49.43811176643
"res278",11,46.4991531052888
"res279",11,49.1021610718346
"res280",13,52.3993244857133
"res281",11,44.235203926763
"res282",15,53.2151307113822
"res283",12,49.6691102649662
"res284",11,53.009212630008
"res285",12,49.7389740291938
"res286",15,50.385050900728
"res287",9,49.9158779955169
"res288",11,49.7851030237423
"res289",12,48.1948111176959
"res290",12,48.6884721779347
"res291",17,49.2079003658384
"res292",13,53.4133282444217
"res293",11,48.4092824453744
"res294",12,49.0767496000191
"res295",10,50.9842201075931
